NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),".030","9","84","1",".135"
2,Aircraft Departure,number,"18","5","22","5","20"
3,Aircraft Hours,number,"1155:04","1537:55","1487:05","1260:46","1306:46"
4,Passenger Carried,number,"-","-","-","-","-"
5,Freight Carried,ton,".689","8",".571","8",".823"
6,Passenger KM,(000),"-","-","-","-","-"
7,Available Seat KM,(000),"-","-","-","-","-"
8,Passenger L/F,(%),")","-","-","-","-"
9a,Ton KM Performed - Passenger,(000),"-","-","-","-","-"
9b,Ton KM Performed - Freight,(000),"11.646","18.741","18.039","20.565","25.310"
9c,Ton KM Performed - Mail,(000),"5","4","-","-","6"
9d,Ton KM Performed - Total,(000),"11.651","18.745","18.039","20.565","25.316"
10,Available Ton KM,(000),"50.620","60.956","64.972","62.074","71.443"
