NO,RUTE PP,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,TOTAL 2024
50,DPS-HAN,12652,14118,12537,13408,16447,16389,16439,17740,15541,15002,12667,16104,179044.0
51,CAN-DPS,10839,10480,10827,11063,11951,11518,13884,22765,21288,18348,15665,19461,178089.0
52,DPS-IST,12397,12338,12348,14135,13409,13173,13753,14285,14235,14561,18860,18749,172243.0
53,DMK-KNO,14147,12336,14495,13437,13916,16564,14152,13309,13625,13329,13568,17183,170061.0
54,BTJ-KUL,11025,12594,9093,11659,11054,12441,12753,14151,15968,15602,16159,20476,162975.0
55,CGK-MCT,13677,13440,11370,11650,11970,11482,15144,16142,13867,12760,15194,15210,161906.0
56,DEL-DPS,9951,9643,9792,12690,17466,17669,16841,16922,14450,11872,10018,13325,160639.0
57,SIN-YIA,19244,16881,16650,17027,16124,15427,10553,8629,8350,9215,9125,10192,157417.0
58,CGK-JHB,11854,10916,9682,15048,13028,13440,12945,12396,12131,11110,11825,16632,151007.0
59,DIL-DPS,10997,8501,9828,9330,10231,10736,12388,13163,12459,13420,12680,15454,139187.0
60,CGK-MEL,11824,9380,8179,10480,9182,11784,14347,11079,11913,11772,10069,14319,134328.0
61,DPS-NRT,8568,9832,10643,9756,9204,9967,9430,12548,11575,11417,12215,11982,127137.0
62,DPS-XMN,9746,11568,9572,9790,10979,9510,9846,9911,9991,10402,9431,10643,121389.0
63,CGK-SZX,9059,8970,10158,7924,10368,10125,10254,11112,10553,10589,10572,10673,120357.0
64,BOM-CGK,9286,9782,8965,8184,8422,5727,10600,10830,10221,10594,10365,10539,113515.0
65,AKL-DPS,0,0,459,12002,10691,14662,18717,17916,14508,12390,5502,6260,113107.0
66,KUL-UPG,9399,8905,7010,6639,6121,5851,9258,9467,8131,8012,8922,10271,97986.0
67,CGK-PER,14240,8743,7033,11046,5780,10648,10417,5802,9522,3703,3388,6169,96491.0
68,BLR-DPS,0,0,1032,9640,10876,10413,10039,10631,10011,10256,8922,9930,91750.0
69,CAN-MDC,6137,4228,7700,4552,5782,5991,6811,8494,8604,8205,11388,11400,89292.0
70,CGK-FOC,7251,8298,9198,8197,7294,6611,7525,5403,8699,7241,6572,6765,89054.0
71,CGK-HAN,5460,4681,7861,8524,9270,8915,5840,7992,8507,8772,5674,5793,87289.0
72,CGK-PEK,6602,6072,7350,6309,6692,6626,6990,6528,6337,5799,8053,10929,84287.0
73,DPS-DRW,6176,6309,6195,6623,7316,7085,6876,6698,7469,7215,6489,6879,81330.0
74,CGK-KCH,3713,7106,5875,6262,6401,7455,7024,7127,8382,6353,5349,8421,79468.0
75,CNS-DPS,4237,4356,3967,5295,5748,5640,5704,7474,9470,8869,8633,8597,77990.0
76,BWN-CGK,4188,4489,4638,4923,5168,4849,5830,8979,7834,7471,8146,9598,76113.0
77,JHB-SUB,7630,7230,7214,8559,9196,4199,5753,5269,5457,4992,4775,5664,75938.0
78,CGK-CMB,7093,5331,5355,6390,7986,6599,7753,7243,6133,4084,3854,4567,72388.0
79,DPS-OOL,8176,2203,3636,6768,5493,6528,8935,5461,8565,6951,3107,6171,71994.0
